,action,effectiveness
1964,Provide ‘sacrificial’ grasslands to reduce the impact of wild geese on crops,Unknown effectiveness (limited evidence)
1965,Provide additional moorings to reduce anchoring,No evidence found (no assessment)
1966,Provide additional sleeping platforms/nesting sites for primates,Unknown effectiveness (limited evidence)
1967,Provide adequate signage of presence of primates on or near roads,No evidence found (no assessment)
1968,Provide alternative bat roosts during maintenance work at road/railway bridges and culverts,Unknown effectiveness (limited evidence)
1969,Provide artificial dens or nest boxes on trees,Beneficial
1970,Provide artificial nest sites for bumblebees,Awaiting assessment
1971,Provide artificial nest sites for solitary bees,Awaiting assessment
1972,Provide artificial nesting sites for burrow-nesting seabirds,Likely to be beneficial
1973,Provide artificial nesting sites for divers/loons,Likely to be beneficial
1974,Provide artificial nesting sites for falcons,Beneficial
1975,Provide artificial nesting sites for gamebirds,Unknown effectiveness (limited evidence)
1976,Provide artificial nesting sites for grebes,Unknown effectiveness (limited evidence)
1977,Provide artificial nesting sites for ground and tree-nesting seabirds,Likely to be beneficial
1978,Provide artificial nesting sites for ibises and flamingos,Unknown effectiveness (limited evidence)
1979,Provide artificial nesting sites for oilbirds,Likely to be beneficial
1980,Provide artificial nesting sites for owls,Beneficial
1981,Provide artificial nesting sites for parrots,Unknown effectiveness (limited evidence)
1982,Provide artificial nesting sites for pigeons,Unknown effectiveness (limited evidence)
1983,Provide artificial nesting sites for rails,Unknown effectiveness (limited evidence)
1984,Provide artificial nesting sites for raptors,Likely to be beneficial
1985,Provide artificial nesting sites for rollers,Unknown effectiveness (limited evidence)
1986,Provide artificial nesting sites for songbirds,Beneficial
1987,Provide artificial nesting sites for swifts,Unknown effectiveness (limited evidence)
1988,Provide artificial nesting sites for trogons,Unknown effectiveness (limited evidence)
1989,Provide artificial nesting sites for waders,Unknown effectiveness (limited evidence)
1990,Provide artificial nesting sites for wildfowl,Beneficial
1991,Provide artificial nesting sites for wildfowl using artificial/floating islands,Likely to be beneficial
1992,Provide artificial nesting sites for woodpeckers,Unknown effectiveness (limited evidence)
1993,Provide artificial refuges for prey to evade/escape non-native predators,No evidence found (no assessment)
1994,Provide artificial refuges/breeding sites,Likely to be beneficial
1995,Provide artificial shade for individuals,Awaiting assessment
1996,Provide artificial shade for nests or nesting sites,Awaiting assessment
1997,Provide artificial shelters,Beneficial
1998,Provide artificial shelters following release,No evidence found (no assessment)
1999,Provide artificial subterranean bat roosts to replace roosts in disturbed caves,No evidence found (no assessment)
2000,Provide artificial subterranean bat roosts to replace roosts in reclaimed mines,No evidence found (no assessment)
2001,Provide artificial water sources,Unknown effectiveness (limited evidence)
2002,Provide artificial waterholes in dry season,Likely to be beneficial
2003,Provide badger gates,No evidence found (no assessment)
2004,Provide bat boxes for roosting bats,Likely to be beneficial
2005,"Provide bat boxes, bat grilles, improvements to roosts",No evidence found (no assessment)
2006,Provide better equipment (e.g. guns) to anti-poaching ranger patrols,Likely to be beneficial
2007,Provide bird feeding materials to families with young children,Unknown effectiveness (limited evidence)
2008,Provide buffer strips along rivers and streams,No evidence found (no assessment)
2009,Provide buffer strips alongside water courses (rivers and streams),Unknown effectiveness (limited evidence)
2010,Provide buffer strips around in-field ponds,No evidence found (no assessment)
2011,Provide calcium supplements to increase survival or reproductive success,Likely to be beneficial
2012,Provide dams/water holes during drought,No evidence found (no assessment)
2013,Provide diversionary feeding for mammals to reduce nuisance behaviour and human-wildlife conflict,Unknown effectiveness (limited evidence)
2014,Provide diversionary feeding for predators,Unknown effectiveness (limited evidence)
2015,Provide diversionary feeding to reduce crop damage by mammals to reduce human-wildlife conflict,Likely to be beneficial
2016,Provide diversionary feeding to reduce predation of livestock by mammals to reduce human-wildlife conflict,Unknown effectiveness (limited evidence)
2017,Provide domestic meat to workers of the logging company to reduce hunting,No evidence found (no assessment)
2018,Provide education or training programmes about peatlands or peatland management,Unknown effectiveness (limited evidence)
2019,Provide education programmes about amphibians,Likely to be beneficial
2020,Provide education programmes about forests,No evidence found (no assessment)
2021,Provide education programmes about shrublands,No evidence found (no assessment)
2022,Provide education programmes to improve behaviour towards mammals and reduce threats,Likely to be beneficial
2023,Provide education/training programmes about marshes or swamps,Unknown effectiveness (limited evidence)
2024,"Provide educational materials at marinas and ports to encourage vessel operators to carry out safe practices around mammals (e.g. signs, leaflets)",No evidence found (no assessment)
2025,Provide educational or other training programmes about the marine environment to improve behaviours towards marine invertebrates,Unknown effectiveness (limited evidence)
2026,Provide financial incentives not to graze,No evidence found (no assessment)
2027,Provide food for vultures to reduce mortality from diclofenac,Likely to be beneficial
2028,Provide food/salt lick to divert mammals from roads or railways,Likely to be beneficial
2029,Provide foraging perches (eg. for shrikes),No evidence found (no assessment)
2030,Provide fuel efficient stoves,No evidence found (no assessment)
2031,Provide general protection for marshes or swamps,Likely to be beneficial
2032,Provide grass strips at field margins for bees,Awaiting assessment
2033,Provide legal protection of forests from development,No evidence found (no assessment)
2034,Provide live natural prey to captive mammals to foster hunting behaviour before release,Likely to be beneficial
2035,Provide mammals with escape routes from canals,Likely to be beneficial
2036,Provide medicated grit for grouse,Evidence not assessed
2037,Provide medicine to local communities to control killing of primates for medicinal purposes,No evidence found (no assessment)
2038,"Provide monetary benefits to local communities for sustainably managing their forest and its wildlife (e.g. REDD, employment)",Unknown effectiveness (limited evidence)
2039,Provide more small artificial breeding sites rather than fewer large sites,Unknown effectiveness (limited evidence)
2040,Provide nest boxes for bees (solitary bees or bumblebees),Unknown effectiveness (limited evidence)
2041,Provide nest boxes for birds,Unknown effectiveness (limited evidence)
2042,Provide nest boxes for stingless bees,Awaiting assessment
2043,Provide nesting habitat for birds that is safe from extreme weather,Unknown effectiveness (limited evidence)
2044,Provide nesting material for wild birds,Unknown effectiveness (limited evidence)
2045,Provide new technologies to reduce harvesting pressure on vegetation,No evidence found (no assessment)
2046,Provide new technologies to reduce pressure on wild biological resources,No evidence found (no assessment)
2047,"Provide non-monetary benefits to local communities for sustainably managing their forest and its wildlife (e.g. better education, infrastructure development)",Unknown effectiveness (limited evidence)
2048,Provide or maintain hedgerows on farmland,Awaiting assessment
2049,Provide or retain set-aside areas in farmland,No evidence found (no assessment)
2050,Provide or retain set-aside areas in farmland,Beneficial
2051,Provide or retain set-aside areas in farmland,Beneficial
2052,Provide or retain set-aside areas on farmland,Likely to be beneficial
2053,Provide or retain set-aside areas on farmland,No evidence found (no assessment)
2054,Provide or retain un-harvested buffer strips,Trade-off between benefit and harms
2055,"Provide other resources for birds (water, sand for bathing)",Unknown effectiveness (limited evidence)
2056,Provide otter holts,No evidence found (no assessment)
2057,"Provide owl nest boxes (Tawny owl, Barn owl)",Unknown effectiveness (limited evidence)
2058,Provide paraffin stoves,No evidence found (no assessment)
2059,Provide paths to limit extent of disturbance to mammals,No evidence found (no assessment)
2060,Provide paths to limit the extent of disturbance,Likely to be beneficial
2061,Provide red squirrel feeders,No evidence found (no assessment)
2062,Provide refuges during crop harvesting or mowing,No evidence found (no assessment)
2063,Provide refuges during harvest or mowing,Unknown effectiveness (limited evidence)
2064,Provide refuges for fish within ponds,Likely to be beneficial
2065,"Provide reptiles with escape routes from canals, drains and ditches",No evidence found (no assessment)
2066,Provide rewards (monetary or non-monetary) for reporting injured or entangled reptiles,No evidence found (no assessment)
2067,Provide sacrificial rows of crops on outer side of fields,No evidence found (no assessment)
2068,Provide salt licks for primates,No evidence found (no assessment)
2069,"Provide science-based films, radio programmes, or books about mammals to improve behaviour towards mammals and reduce threats",No evidence found (no assessment)
2070,Provide set-aside areas in farmland,Awaiting assessment
2071,Provide shelter habitat,No evidence found (no assessment)
2072,Provide shelter structures after fire,No evidence found (no assessment)
2073,Provide short grass for birds,Evidence not assessed
2074,Provide short grass for waders,Unknown effectiveness (limited evidence)
2075,"Provide specialist advice, assistance preparing conservation plans",No evidence found (no assessment)
2076,Provide suitable bat foraging and roosting habitat at expanding range fronts,No evidence found (no assessment)
2077,Provide supplementary feed to reduce tree damage,Unknown effectiveness (limited evidence)
2078,Provide supplementary food,Awaiting assessment
2079,Provide supplementary food after fire,Unknown effectiveness (limited evidence)
2080,Provide supplementary food after release,Likely to be beneficial
2081,Provide supplementary food during/after release of captive-bred mammals,Beneficial
2082,Provide supplementary food during/after release of translocated mammals,Likely to be beneficial
2083,Provide supplementary food for a certain period of time only,Unknown effectiveness (limited evidence)
2084,Provide supplementary food for auks to increase reproductive success,Unknown effectiveness (limited evidence)
2085,Provide supplementary food for birds or mammals,Likely to be beneficial
2086,Provide supplementary food for cranes to increase adult survival,Likely to be beneficial
2087,Provide supplementary food for gamebirds to increase adult survival,Unknown effectiveness (limited evidence)
2088,Provide supplementary food for gamebirds to increase reproductive success,Unknown effectiveness (limited evidence)
2089,Provide supplementary food for gannets and boobies to increase reproductive success,Unknown effectiveness (limited evidence)
2090,"Provide supplementary food for gulls, terns and skuas to increase adult survival",Unknown effectiveness (limited evidence)
2091,"Provide supplementary food for gulls, terns and skuas to increase reproductive success",Likely to be beneficial
2092,Provide supplementary food for hummingbirds to increase adult survival,Unknown effectiveness (limited evidence)
2093,Provide supplementary food for ibises to increase reproductive success,Unknown effectiveness (limited evidence)
2094,Provide supplementary food for kingfishers to increase reproductive success,Unknown effectiveness (limited evidence)
2095,Provide supplementary food for nectar-feeding songbirds to increase adult survival,Unknown effectiveness (limited evidence)
2096,Provide supplementary food for owls to increase reproductive success,Likely to be beneficial
2097,Provide supplementary food for parrots to increase reproductive success,Unknown effectiveness (limited evidence)
2098,Provide supplementary food for petrels to increase reproductive success,Unknown effectiveness (limited evidence)
2099,Provide supplementary food for pigeons to increase adult survival,Unknown effectiveness (limited evidence)
2100,Provide supplementary food for pigeons to increase reproductive success,Unknown effectiveness (limited evidence)
2101,Provide supplementary food for rails and coots to increase reproductive success,Unknown effectiveness (limited evidence)
2102,Provide supplementary food for raptors to increase adult survival,Unknown effectiveness (limited evidence)
2103,Provide supplementary food for raptors to increase reproductive success,Likely to be beneficial
2104,Provide supplementary food for songbirds to increase adult survival,Beneficial
2105,Provide supplementary food for songbirds to increase reproductive success,Likely to be beneficial
2106,Provide supplementary food for vultures to increase adult survival,Unknown effectiveness (limited evidence)
2107,Provide supplementary food for vultures to increase reproductive success,Unknown effectiveness (limited evidence)
2108,Provide supplementary food for waders to increase adult survival,Unknown effectiveness (limited evidence)
2109,Provide supplementary food for waders to increase reproductive success,Unknown effectiveness (limited evidence)
2110,Provide supplementary food for wildfowl to increase adult survival,Unknown effectiveness (limited evidence)
2111,Provide supplementary food for wildfowl to increase reproductive success,Unknown effectiveness (limited evidence)
2112,Provide supplementary food for woodpeckers to increase adult survival,Unknown effectiveness (limited evidence)
2113,Provide supplementary food or water,Awaiting assessment
2114,Provide supplementary food through the establishment of food populations,Unknown effectiveness (limited evidence)
2115,Provide supplementary food to allow the rescue of a second chick,Unknown effectiveness (limited evidence)
2116,Provide supplementary food to increase parental presence and so reduce brood parasitism,No evidence found (no assessment)
2117,Provide supplementary food to increase reproduction/survival,Trade-off between benefit and harms
2118,Provide supplementary food to primates through the establishment of prey populations,No evidence found (no assessment)
2119,Provide supplementary water to increase reproduction/survival,Likely to be beneficial
2120,Provide supplementary water to increase survival or reproductive success,Unknown effectiveness (limited evidence)
2121,Provide sustainable alternative livelihoods; establish fish- or domestic meat farms,No evidence found (no assessment)
2122,Provide training and tools for safe release of mammals captured by fisheries,No evidence found (no assessment)
2123,Provide training for construction workers on the potential risks to reptiles and how to mitigate disturbance during works,No evidence found (no assessment)
2124,"Provide training for land managers, farmers and farm advisers",Evidence not assessed
2125,Provide training for local staff in species identification,No evidence found (no assessment)
2126,Provide training to anti-poaching ranger patrols,Unknown effectiveness (limited evidence)
2127,Provide training to conservationists and land managers on bee ecology and conservation,Awaiting assessment
2128,Provide training to conservationists and land managers on bird ecology and conservation,No evidence found (no assessment)
2129,"Provide training to conservationists, land managers, and the building and development sector on bat ecology and conservation to reduce bat roost disturbance",No evidence found (no assessment)
2130,Provide training to vessel operators on mammal behaviour and appropriate avoidance techniques,No evidence found (no assessment)
2131,Provide training to wildlife control operators on least harmful ways of removing bats from their roosts,No evidence found (no assessment)
2132,Provide unfertilised cereal headlands in arable fields,No evidence found (no assessment)
2133,Provide woody debris in ski run area,Unknown effectiveness (limited evidence)
2134,Provide/increase anti-poaching patrols,Likely to be beneficial
2135,Prune roots of non-woody plants before planting: brackish/saline wetlands,No evidence found (no assessment)
2136,Prune roots of non-woody plants before planting: freshwater wetlands,No evidence found (no assessment)
2137,Prune roots of trees/shrubs before planting: brackish/saline wetlands,No evidence found (no assessment)
2138,Prune roots of trees/shrubs before planting: freshwater wetlands,Unknown effectiveness (limited evidence)
2139,Publish data on ranger performance to motivate increased anti-poacher efforts,Likely to be beneficial
2140,Purchase fishing permits and/or vessels from fishers,No evidence found (no assessment)
2141,Put out wildfires,No evidence found (no assessment)
2142,Put up signs to discourage fires,No evidence found (no assessment)
2143,Put up signs to discourage littering,No evidence found (no assessment)
2144,Put up signs to warn people about not feeding primates,Unknown effectiveness (limited evidence)
2145,Raise awareness amongst the general public,No evidence found (no assessment)
2146,Raise awareness amongst the general public through campaigns and public information,Awaiting assessment
2147,Raise awareness amongst the general public through campaigns and public information,Likely to be beneficial
2148,Raise awareness amongst the general public through campaigns and public information,No evidence found (no assessment)
2149,Raise awareness amongst the general public through campaigns and public information,Likely to be beneficial
2150,Raise awareness amongst the public (general),Unknown effectiveness (limited evidence)
2151,Raise awareness amongst the public (problematic species),No evidence found (no assessment)
2152,Raise awareness amongst the public (wild fire),No evidence found (no assessment)
2153,Raise awareness through engaging volunteers in peatland management or monitoring,No evidence found (no assessment)
2154,Raise mowing height,Awaiting assessment
2155,Raise mowing height on grasslands to benefit birds,Unknown effectiveness (limited evidence)
2156,Raise mowing height on grasslands to benefit farmland wildlife,Unknown effectiveness (limited evidence)
2157,Raise public awareness about marshes or swamps,No evidence found (no assessment)
2158,Raise water level (before/after planting),No evidence found (no assessment)
2159,Raise water level to prevent wild fires,No evidence found (no assessment)
2160,Raise water level to restore degraded brackish/saline swamps,No evidence found (no assessment)
2161,Raise water level to restore degraded brackish/salt marshes,Likely to be beneficial
2162,Raise water level to restore degraded freshwater marshes,Trade-off between benefit and harms
2163,Raise water level to restore degraded freshwater swamps,No evidence found (no assessment)
2164,Raise water level to restore/create brackish/saline swamps from other land uses,No evidence found (no assessment)
2165,Raise water level to restore/create brackish/salt marshes from other land uses,Unknown effectiveness (limited evidence)
2166,Raise water level to restore/create freshwater marshes from other land uses,Likely to be beneficial
2167,Raise water level to restore/create freshwater swamps from other land uses,Unknown effectiveness (limited evidence)
2168,Raise water levels in ditches or grassland,Trade-off between benefit and harms
2169,Raise water levels in ditches or grassland,Likely to be beneficial
2170,Rake to control grass,Unknown effectiveness (limited evidence)
2171,Re-plant native forest,Awaiting assessment
2172,Re-route paths to reduce habitat disturbance,Unknown effectiveness (limited evidence)
2173,"Re-route paths, control access or close paths",No evidence found (no assessment)
2174,Re-route vehicles around protected areas,No evidence found (no assessment)
2175,Re-seed grasslands,Unknown effectiveness (limited evidence)
2176,Re-use old roads rather than building new roads,No evidence found (no assessment)
2177,Re-wet moorland,No evidence found (no assessment)
2178,Rear and manage populations of solitary bees,Awaiting assessment
2179,Rear declining bumblebees in captivity,Awaiting assessment
2180,Recharge groundwater to restore wetland forest,No evidence found (no assessment)
2181,Recover eggs from injured or dead reptiles,Awaiting assessment
2182,Recover lost fishing gear,No evidence found (no assessment)
2183,Recover lost or discarded fishing gear,No evidence found (no assessment)
2184,Recover lost or discarded fishing gear,No evidence found (no assessment)
2185,Recycle or repurpose fluids used in the drilling process,No evidence found (no assessment)
2186,Red-eared terrapin:  Application of a biocide,Unlikely to be beneficial
2187,Red-eared terrapin:  Biological control using native predators,No evidence found (no assessment)
2188,Red-eared terrapin:  Direct removal of adults,Likely to be beneficial
2189,Red-eared terrapin:  Draining invaded waterbodies,No evidence found (no assessment)
2190,Red-eared terrapin:  Public education,No evidence found (no assessment)
2191,Red-eared terrapin:  Search and removal using sniffer dogs,No evidence found (no assessment)
2192,Reduce ‘ghost fishing’ by lost/discarded gear,No evidence found (no assessment)
2193,Reduce adverse habitat alterations by excluding problematic aquatic species,Unknown effectiveness (limited evidence)
2194,Reduce adverse habitat alterations by excluding problematic terrestrial species,Likely to be beneficial
2195,Reduce and/or eradicate aquaculture escapees in the wild,No evidence found (no assessment)
2196,Reduce aquaculture stocking densities,No evidence found (no assessment)
2197,Reduce bycatch by employing seasonal or area closures,No evidence found (no assessment)
2198,Reduce capacity of cooling water intake structures,No evidence found (no assessment)
2199,Reduce chemical inputs in grassland management,Likely to be beneficial
2200,Reduce chemical inputs in permanent grassland management,Unknown effectiveness (limited evidence)
2201,Reduce competition between species by providing nest boxes,Unknown effectiveness (limited evidence)
2202,Reduce competition from native amphibians,Unknown effectiveness (limited evidence)
2203,Reduce conflict by deterring birds from taking crops using bird scarers,Likely to be beneficial
2204,Reduce conflict by deterring birds from taking crops using repellents,Unknown effectiveness (limited evidence)
2205,Reduce cumulative heating effects of urban development by planting vegetation,No evidence found (no assessment)
2206,Reduce duration of fishing gear deployments,Awaiting assessment
2207,Reduce duration of time fishing gear is in the water,Awaiting assessment
2208,Reduce duration of time fishing gear is in the water,No evidence found (no assessment)
2209,"Reduce electrocutions by using plastic, not aluminium, leg rings to mark birds",Unlikely to be beneficial
2210,Reduce erosion to increase seedling survival,No evidence found (no assessment)
2211,Reduce fertilizer or herbicide use near peatlands,No evidence found (no assessment)
2212,Reduce fertilizer or herbicide use: brackish/saline swamps,No evidence found (no assessment)
2213,Reduce fertilizer or herbicide use: brackish/salt marshes,No evidence found (no assessment)
2214,Reduce fertilizer or herbicide use: freshwater marshes,Unknown effectiveness (limited evidence)
2215,Reduce fertilizer or herbicide use: freshwater swamps,No evidence found (no assessment)
2216,Reduce fertilizer run-off into margins,Awaiting assessment
2217,Reduce fertilizer use on nearby agricultural/forestry land,No evidence found (no assessment)
2218,"Reduce fertilizer, pesticide or herbicide use generally",Likely to be ineffective or harmful
2219,"Reduce fertilizer, pesticide or herbicide use generally",Beneficial
2220,Reduce field size (or maintain small fields),No evidence found (no assessment)
2221,Reduce field size (or maintain small fields),Unknown effectiveness (limited evidence)
2222,Reduce field size (or maintain small fields),No evidence found (no assessment)
2223,Reduce fish meal in diet,Awaiting assessment
2224,Reduce frequency of cutting/mowing: brackish/salt marshes,No evidence found (no assessment)
2225,Reduce frequency of cutting/mowing: freshwater marshes,Likely to be beneficial
2226,Reduce frequency of harvest (of wild biological resources),No evidence found (no assessment)
2227,Reduce frequency of hunting/collecting animals,No evidence found (no assessment)
2228,Reduce frequency of prescribed burning,No evidence found (no assessment)
2229,Reduce frequency of vegetation harvest: brackish/saline swamps,No evidence found (no assessment)
2230,Reduce frequency of vegetation harvest: brackish/salt marshes,No evidence found (no assessment)
2231,Reduce frequency of vegetation harvest: freshwater marshes,Likely to be beneficial
2232,Reduce frequency of vegetation harvest: freshwater swamps,No evidence found (no assessment)
2233,Reduce garbage/solid waste to avoid primate injuries,No evidence found (no assessment)
2234,Reduce gillnet deployment time to reduce seabird bycatch,No evidence found (no assessment)
2235,Reduce grazing intensity,Likely to be beneficial
2236,Reduce grazing intensity,Likely to be beneficial
2237,Reduce grazing intensity on grassland (including seasonal removal of livestock),Likely to be ineffective or harmful
2238,Reduce grazing intensity on pastures,Awaiting assessment
2239,Reduce hammer energy during pile driving,No evidence found (no assessment)
2240,Reduce herbicide use on nearby agricultural/forestry land,No evidence found (no assessment)
2241,Reduce impact of amphibian trade,Likely to be beneficial
2242,Reduce incidental mortality from birds being attracted to artificial lights,No evidence found (no assessment)
2243,Reduce intensity of cutting/mowing,No evidence found (no assessment)
2244,Reduce intensity of grazing by domestic livestock,Beneficial
2245,Reduce intensity of harvest (of wild biological resources),Unknown effectiveness (limited evidence)
2246,Reduce intensity of hunting/collecting animals,No evidence found (no assessment)
2247,Reduce intensity of livestock grazing,Unknown effectiveness (limited evidence)
2248,Reduce intensity of livestock grazing: brackish/saline swamps,No evidence found (no assessment)
2249,Reduce intensity of livestock grazing: brackish/salt marshes,Likely to be beneficial
2250,Reduce intensity of livestock grazing: freshwater marshes,Likely to be beneficial
2251,Reduce intensity of livestock grazing: freshwater swamps,No evidence found (no assessment)
2252,Reduce intensity of prescribed burning,No evidence found (no assessment)
2253,Reduce intensity of vegetation harvest: brackish/saline swamps,No evidence found (no assessment)
2254,Reduce intensity of vegetation harvest: brackish/salt marshes,No evidence found (no assessment)
2255,Reduce intensity of vegetation harvest: freshwater marshes,No evidence found (no assessment)
2256,Reduce intensity of vegetation harvest: freshwater swamps,Unknown effectiveness (limited evidence)
2257,Reduce inter-specific competition for food by removing or controlling competitor species,Likely to be beneficial
2258,Reduce inter-specific competition for nest sites by modifying habitats to exclude competitor species,Unknown effectiveness (limited evidence)
2259,Reduce inter-specific competition for nest sites of ground nesting seabirds by removing competitor species,Unknown effectiveness (limited evidence)
2260,Reduce inter-specific competition for nest sites of songbirds by removing competitor species,Unknown effectiveness (limited evidence)
2261,Reduce inter-specific competition for nest sites of woodpeckers by removing competitor species,Unknown effectiveness (limited evidence)
2262,Reduce legal speed limit,Unknown effectiveness (limited evidence)
2263,Reduce legal speed limit,No evidence found (no assessment)
2264,Reduce management intensity on permanent grasslands (several interventions at once),Likely to be beneficial
2265,Reduce management intensity on permanent grasslands for birds,Likely to be beneficial
2266,Reduce nest ectoparasites by providing beneficial nesting material,Unknown effectiveness (limited evidence)
2267,Reduce nest predation by excluding predators from nests or nesting areas,Awaiting assessment
2268,Reduce noise pollution by restricting development activities to certain times of the day/night,No evidence found (no assessment)
2269,Reduce number of livestock,Beneficial
2270,Reduce numbers of large herbivores,Unknown effectiveness (limited evidence)
2271,Reduce or prevent the use of septic systems near caves,No evidence found (no assessment)
2272,Reduce pesticide or fertilizer use,Unknown effectiveness (limited evidence)
2273,Reduce pesticide or herbicide use generally,Awaiting assessment
2274,Reduce pesticide or herbicide use generally,Likely to be beneficial
2275,Reduce pesticide use on nearby agricultural/forestry land,No evidence found (no assessment)
2276,"Reduce pesticide, herbicide or fertiliser use",Likely to be beneficial
2277,"Reduce pesticide, herbicide or fertilizer use",No evidence found (no assessment)
2278,"Reduce pesticide, herbicide or fertilizer use",No evidence found (no assessment)
2279,"Reduce pesticide, herbicide or fertilizer use",Unknown effectiveness (limited evidence)
2280,Reduce predation by translocating nest boxes,Unknown effectiveness (limited evidence)
2281,Reduce predation by translocating predators,Unknown effectiveness (limited evidence)
2282,Reduce primate predation by non-primate species through exclusion (e.g. fences) or translocation,No evidence found (no assessment)
2283,Reduce primate predation by other primate species through exclusion (e.g. fences) or translocation,No evidence found (no assessment)
2284,Reduce road widths,No evidence found (no assessment)
2285,Reduce seabird bycatch by releasing offal overboard when setting longlines,Likely to be beneficial
2286,Reduce shipping along inland waterways,No evidence found (no assessment)
2287,Reduce ships/boats/vessels speed limits,No evidence found (no assessment)
2288,Reduce the amount of antibiotics used in aquaculture systems,No evidence found (no assessment)
2289,Reduce the amount of antibiotics used in aquaculture systems,No evidence found (no assessment)
2290,Reduce the amount of pesticides used in aquaculture systems,No evidence found (no assessment)
2291,Reduce the amount of pesticides used in aquaculture systems,No evidence found (no assessment)
2292,Reduce the duration of exposure to air of captured fish before release,Awaiting assessment
2293,Reduce the frequency of prescribed burning,No evidence found (no assessment)
2294,Reduce the hauling speed of a trawl net,Awaiting assessment
2295,Reduce the intensity of farmland meadow management,Awaiting assessment
2296,Reduce the intensity of lighthouse beams,No evidence found (no assessment)
2297,Reduce the intensity of livestock grazing in forests,Unknown effectiveness (limited evidence)
2298,Reduce the number or modify the arrangement of tickler chains/chain mats on trawl nets,Unknown effectiveness (limited evidence)
2299,Reduce the size of forestry teams to include employees only (not family members),No evidence found (no assessment)
2300,Reduce the slope of intertidal artificial structures,Awaiting assessment
2301,Reduce the slope of subtidal artificial structures,No evidence found (no assessment)
2302,Reduce tillage,Awaiting assessment
2303,Reduce tillage,No evidence found (no assessment)
2304,Reduce tillage,Likely to be beneficial
2305,Reduce tillage,Trade-off between benefit and harms
2306,Reduce underwater noise (other than sonar),No evidence found (no assessment)
2307,Reduce visitor group size,No evidence found (no assessment)
2308,Reduce water level of flooded peatlands,No evidence found (no assessment)
2309,Refill disused borrow pits,Unknown effectiveness (limited evidence)
2310,Regularly and continuously provide supplementary food to primates,Unknown effectiveness (limited evidence)
2311,Regularly clean bat boxes to increase occupancy,No evidence found (no assessment)
2312,Regularly de-activate/remove ground snares,Likely to be beneficial
2313,"Regularly disinfect clothes, boots etc.",Unknown effectiveness (limited evidence)
2314,Regularly play TV & radio announcements to raise primate conservation awareness,Unknown effectiveness (limited evidence)
2315,Regularly provide supplementary food to primates during resource scarce periods only,Unknown effectiveness (limited evidence)
2316,Regularly remove traps and snares around agricultural fields,No evidence found (no assessment)
2317,Regulate artificial lighting during vulnerable periods,No evidence found (no assessment)
2318,Regulate farming to allow gradual regeneration of marshes or swamps,No evidence found (no assessment)
2319,Regulate planning permission for gas/filling stations at reptile sites,No evidence found (no assessment)
2320,Regulate temperature of water discharged from power plants,Awaiting assessment
2321,"Regulate the use, dosage and disposal of agrichemicals",No evidence found (no assessment)
2322,Regulate water levels,Beneficial
2323,Regulate water levels,Awaiting assessment
2324,Regulate wildlife harvesting,Awaiting assessment
2325,Rehabilitate and release injured or accidentally caught individuals: Crocodilians,Awaiting assessment
2326,Rehabilitate and release injured or accidentally caught individuals: Sea turtles,Awaiting assessment
2327,Rehabilitate and release injured or accidentally caught individuals: Snakes & lizards,No evidence found (no assessment)
2328,"Rehabilitate and release injured or accidentally caught individuals: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
2329,Rehabilitate and release injured or accidentally caught individuals: Tuatara,No evidence found (no assessment)
2330,"Rehabilitate and release injured, sick or weak marine and freshwater mammals",Likely to be beneficial
2331,Rehabilitate and release marine and freshwater mammals following oil spills,No evidence found (no assessment)
2332,"Rehabilitate injured, sick or weak mammals",Likely to be beneficial
2333,Rehabilitate injured/orphaned bats to maintain wild bat populations,Unknown effectiveness (limited evidence)
2334,Rehabilitate injured/orphaned primates,Unknown effectiveness (limited evidence)
2335,Rehabilitate reptiles following oil spills,Awaiting assessment
2336,Rehabilitation of injured and treated birds,Unknown effectiveness (limited evidence)
2337,Reinstate bat roosts in felled tree trunks,Unknown effectiveness (limited evidence)
2338,Reinstate the use of traditional burning practices,Unknown effectiveness (limited evidence)
2339,Reintroduce laboratory-reared bumblebee colonies to the wild,Awaiting assessment
2340,Reintroduce laboratory-reared bumblebee queens to the wild,Awaiting assessment
2341,Reintroduce large herbivores,No evidence found (no assessment)
2342,Reintroduce overharvested animals,No evidence found (no assessment)
2343,Reintroduce primates as single/multiple individuals,Unknown effectiveness (limited evidence)
2344,Reintroduce primates in groups,Unknown effectiveness (limited evidence)
2345,Reintroduce primates into habitat where the species is absent,Likely to be beneficial
2346,Reintroduce primates into habitat where the species is present,Unknown effectiveness (limited evidence)
2347,Reintroduce primates into habitat with predators,Unknown effectiveness (limited evidence)
2348,Reintroduce primates into habitat without predators,Unknown effectiveness (limited evidence)
2349,Reintroduce top predators to suppress and reduce the impacts of smaller non-native predator and prey species,No evidence found (no assessment)
2350,Release accidentally caught (‘bycatch’) reptiles,Awaiting assessment
2351,Release animals that modify landscapes (e.g. ecological engineers),No evidence found (no assessment)
2352,"Release birds as adults or sub-adults, not juveniles",Unknown effectiveness (limited evidence)
2353,Release birds in ‘coveys’,Unknown effectiveness (limited evidence)
2354,Release birds in groups,Unknown effectiveness (limited evidence)
2355,Release captive-bred amphibians,Likely to be beneficial
2356,Release captive-bred bats,No evidence found (no assessment)
2357,Release captive-bred frogs,Likely to be beneficial
